"(PDH-CSV 4.0) (GMT Daylight Time)(-60)","\\mahta\Memory\Available MBytes"
"04/01/2025 23:18:19.763","5559"
"04/01/2025 23:18:20.764","5580"
"04/01/2025 23:18:21.765","5584"
"04/01/2025 23:18:22.767","5581"
"04/01/2025 23:18:23.770","5566"
"04/01/2025 23:18:24.771","5567"
"04/01/2025 23:18:25.771","5557"
"04/01/2025 23:18:26.773","5515"
"04/01/2025 23:18:27.774","5270"
"04/01/2025 23:18:28.775","5076"
"04/01/2025 23:18:29.777","5068"
"04/01/2025 23:18:30.778","5055"
"04/01/2025 23:18:31.779","5057"
"04/01/2025 23:18:32.780","5053"
"04/01/2025 23:18:33.781","5021"
"04/01/2025 23:18:34.782","4974"
"04/01/2025 23:18:35.782","4941"
"04/01/2025 23:18:36.782","4626"
"04/01/2025 23:18:37.784","4501"
"04/01/2025 23:18:38.785","4317"
"04/01/2025 23:18:39.787","4318"
"04/01/2025 23:18:40.788","4280"
"04/01/2025 23:18:41.788","4242"
"04/01/2025 23:18:42.789","4134"
"04/01/2025 23:18:43.789","4125"
"04/01/2025 23:18:44.790","4073"
"04/01/2025 23:18:45.791","4040"
"04/01/2025 23:18:46.791","4001"
"04/01/2025 23:18:47.792","3972"
"04/01/2025 23:18:48.792","3946"
"04/01/2025 23:18:49.792","3904"
"04/01/2025 23:18:50.794","3885"
"04/01/2025 23:18:51.794","3815"
"04/01/2025 23:18:52.794","3768"
"04/01/2025 23:18:53.795","3714"
"04/01/2025 23:18:54.795","3692"
"04/01/2025 23:18:55.796","3648"
"04/01/2025 23:18:56.798","3622"
"04/01/2025 23:18:57.800","3613"
"04/01/2025 23:18:58.801","3543"
"04/01/2025 23:18:59.802","3349"
"04/01/2025 23:19:00.804","3402"
"04/01/2025 23:19:01.806","4279"
"04/01/2025 23:19:02.817","4155"
"04/01/2025 23:19:03.818","3992"
"04/01/2025 23:19:04.833","3946"
"04/01/2025 23:19:05.834","3938"
"04/01/2025 23:19:06.840","3929"
"04/01/2025 23:19:07.854","3923"
"04/01/2025 23:19:08.868","3932"
"04/01/2025 23:19:09.869","3923"
"04/01/2025 23:19:10.876","3922"
"04/01/2025 23:19:11.877","3913"
"04/01/2025 23:19:12.878","3913"
"04/01/2025 23:19:13.880","3934"
"04/01/2025 23:19:14.881","3933"
"04/01/2025 23:19:15.882","3921"
"04/01/2025 23:19:16.883","3909"
"04/01/2025 23:19:17.884","3868"
"04/01/2025 23:19:18.884","3896"
"04/01/2025 23:19:19.885","3835"
"04/01/2025 23:19:20.887","3809"
"04/01/2025 23:19:21.888","3765"
"04/01/2025 23:19:22.888","3712"
"04/01/2025 23:19:23.889","3582"
"04/01/2025 23:19:24.891","3561"
"04/01/2025 23:19:25.893","3476"
"04/01/2025 23:19:26.894","3441"
"04/01/2025 23:19:27.895","3440"
"04/01/2025 23:19:28.898","3433"
"04/01/2025 23:19:29.917","3384"
"04/01/2025 23:19:30.918","3417"
"04/01/2025 23:19:31.919","3407"
"04/01/2025 23:19:32.920","3408"
"04/01/2025 23:19:33.920","3393"
"04/01/2025 23:19:34.921","3375"
"04/01/2025 23:19:35.921","3374"
"04/01/2025 23:19:36.922","3350"
"04/01/2025 23:19:37.923","3345"
"04/01/2025 23:19:38.923","3317"
"04/01/2025 23:19:39.926","3326"
"04/01/2025 23:19:40.927","3323"
"04/01/2025 23:19:41.928","3315"
"04/01/2025 23:19:42.929","3307"
"04/01/2025 23:19:43.930","3304"
"04/01/2025 23:19:44.931","3302"
"04/01/2025 23:19:45.932","3302"
"04/01/2025 23:19:46.934","3291"
"04/01/2025 23:19:47.937","3288"
"04/01/2025 23:19:48.939","3272"
"04/01/2025 23:19:49.939","3259"
"04/01/2025 23:19:50.940","3262"
"04/01/2025 23:19:51.943","3262"
"04/01/2025 23:19:52.943","3249"
"04/01/2025 23:19:53.944","3247"
"04/01/2025 23:19:54.946","3234"
"04/01/2025 23:19:55.947","3255"
"04/01/2025 23:19:56.947","3241"
"04/01/2025 23:19:57.948","3239"
"04/01/2025 23:19:58.949","3155"
"04/01/2025 23:19:59.951","3191"
"04/01/2025 23:20:00.952","3200"
"04/01/2025 23:20:01.953","3189"
"04/01/2025 23:20:02.955","3185"
"04/01/2025 23:20:03.956","3174"
"04/01/2025 23:20:04.957","3152"
"04/01/2025 23:20:05.959","3153"
"04/01/2025 23:20:06.962","3152"
"04/01/2025 23:20:07.964","3148"
"04/01/2025 23:20:08.965","3144"
"04/01/2025 23:20:09.967","3129"
"04/01/2025 23:20:10.968","3134"
"04/01/2025 23:20:11.969","3112"
"04/01/2025 23:20:12.970","3104"
"04/01/2025 23:20:13.972","3108"
"04/01/2025 23:20:14.973","3095"
"04/01/2025 23:20:15.975","3088"
"04/01/2025 23:20:16.977","3077"
"04/01/2025 23:20:17.978","3064"
"04/01/2025 23:20:18.979","3048"
"04/01/2025 23:20:19.981","3044"
"04/01/2025 23:20:20.983","3036"
"04/01/2025 23:20:21.984","3044"
"04/01/2025 23:20:22.985","3043"
"04/01/2025 23:20:23.987","3039"
"04/01/2025 23:20:24.988","3029"
"04/01/2025 23:20:25.989","3013"
"04/01/2025 23:20:26.990","3011"
"04/01/2025 23:20:27.992","3004"
"04/01/2025 23:20:28.992","3016"
"04/01/2025 23:20:29.994","3005"
"04/01/2025 23:20:30.996","3008"
"04/01/2025 23:20:31.997","2996"
"04/01/2025 23:20:32.998","2994"
"04/01/2025 23:20:33.999","2987"
"04/01/2025 23:20:35.000","2986"
"04/01/2025 23:20:36.002","2992"
"04/01/2025 23:20:37.003","2978"
"04/01/2025 23:20:38.004","2961"
"04/01/2025 23:20:39.005","2907"
"04/01/2025 23:20:40.006","2896"
"04/01/2025 23:20:41.008","2897"
"04/01/2025 23:20:42.010","2891"
"04/01/2025 23:20:43.011","2882"
"04/01/2025 23:20:44.013","2865"
"04/01/2025 23:20:45.013","2845"
"04/01/2025 23:20:46.017","2778"
"04/01/2025 23:20:47.018","2760"
"04/01/2025 23:20:48.019","2724"
"04/01/2025 23:20:49.021","2728"
"04/01/2025 23:20:50.022","2727"
"04/01/2025 23:20:51.023","2725"
"04/01/2025 23:20:52.025","2703"
"04/01/2025 23:20:53.027","2713"
"04/01/2025 23:20:54.029","2697"
"04/01/2025 23:20:55.030","2682"
"04/01/2025 23:20:56.030","2674"
"04/01/2025 23:20:57.031","2680"
"04/01/2025 23:20:58.031","2671"
"04/01/2025 23:20:59.033","2667"
"04/01/2025 23:21:00.033","2652"
"04/01/2025 23:21:01.033","2624"
"04/01/2025 23:21:02.034","2629"
"04/01/2025 23:21:03.035","2627"
"04/01/2025 23:21:04.036","2630"
"04/01/2025 23:21:05.036","2606"
"04/01/2025 23:21:06.037","2597"
"04/01/2025 23:21:07.038","2596"
"04/01/2025 23:21:08.040","2577"
"04/01/2025 23:21:09.040","2576"
"04/01/2025 23:21:10.040","2574"
"04/01/2025 23:21:11.041","2564"
"04/01/2025 23:21:12.042","2563"
"04/01/2025 23:21:13.042","2559"
"04/01/2025 23:21:14.044","2560"
"04/01/2025 23:21:15.045","2547"
"04/01/2025 23:21:16.046","2556"
"04/01/2025 23:21:17.047","2483"
"04/01/2025 23:21:18.048","2520"
"04/01/2025 23:21:19.048","2509"
"04/01/2025 23:21:20.048","2501"
"04/01/2025 23:21:21.050","2505"
"04/01/2025 23:21:22.052","2502"
"04/01/2025 23:21:23.053","2489"
"04/01/2025 23:21:24.053","2483"
"04/01/2025 23:21:25.055","2486"
"04/01/2025 23:21:26.056","2482"
"04/01/2025 23:21:27.056","2480"
"04/01/2025 23:21:28.056","2471"
"04/01/2025 23:21:29.058","2476"
"04/01/2025 23:21:30.058","2460"
"04/01/2025 23:21:31.059","2430"
"04/01/2025 23:21:32.061","2430"
"04/01/2025 23:21:33.062","2416"
"04/01/2025 23:21:34.064","2414"
"04/01/2025 23:21:35.064","2412"
"04/01/2025 23:21:36.065","2395"
"04/01/2025 23:21:37.065","2393"
"04/01/2025 23:21:38.065","2388"
"04/01/2025 23:21:39.066","2381"
"04/01/2025 23:21:40.067","2421"
"04/01/2025 23:21:41.068","2418"
"04/01/2025 23:21:42.069","2417"
"04/01/2025 23:21:43.070","2409"
"04/01/2025 23:21:44.070","2419"
"04/01/2025 23:21:45.070","2414"
"04/01/2025 23:21:46.071","2413"
"04/01/2025 23:21:47.076","2416"
"04/01/2025 23:21:48.077","2412"
"04/01/2025 23:21:49.077","2402"
"04/01/2025 23:21:50.078","2416"
"04/01/2025 23:21:51.079","2403"
"04/01/2025 23:21:52.079","2404"
"04/01/2025 23:21:53.080","2416"
"04/01/2025 23:21:54.080","2403"
"04/01/2025 23:21:55.081","2409"
"04/01/2025 23:21:56.082","4724"
"04/01/2025 23:21:57.082","6671"
"04/01/2025 23:21:58.083","6690"
